Team,ALG,ARG,AUS,AUT,BEL,BIH,BRA,CAN,CIV,COD,COL,CPV,CRO,CUW,CZE,ECU,EGY,ENG,ESP,FRA,GER,GHA,HAI,IRN,IRQ,JOR,JPN,KOR,KSA,MAR,MEX,NED,NOR,NZL,PAN,PAR,POR,QAT,RSA,SCO,SEN,SUI,SWE,TUN,TUR,URU,USA,UZB
ALG,-,0-0-1,0-0-0,0-0-0,0-1-2,0-0-1,0-0-1,0-0-0,1-2-2,1-4-0,1-0-0,3-2-1,0-0-0,0-0-0,0-0-0,0-0-0,3-3-3,0-1-0,0-0-0,0-0-1,0-0-1,1-1-1,0-0-0,1-0-1,1-0-0,0-1-0,0-0-0,1-0-0,1-0-1,1-1-4,0-1-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-1,3-0-1,1-3-0,0-0-0,6-2-4,0-0-0,0-0-2,4-3-2,0-0-0,1-1-0,0-0-1,0-0-0
ARG,1-0-0,-,4-0-0,0-0-0,1-0-0,2-0-0,10-5-12,3-0-0,1-0-0,0-0-0,11-8-4,0-0-0,2-0-2,1-0-0,0-0-0,12-6-4,1-0-0,0-1-2,1-0-3,2-1-1,4-4-2,1-0-0,2-0-0,1-0-0,1-0-0,0-0-0,3-0-1,2-0-0,0-1-1,2-0-0,10-3-1,0-3-1,0-0-1,0-0-0,3-0-0,7-9-4,1-0-1,2-0-0,0-0-0,1-0-0,0-0-0,2-1-0,1-1-0,1-0-0,0-0-0,13-5-3,3-2-0,0-0-0
AUS,0-0-0,0-0-4,-,0-0-0,0-0-1,0-0-0,1-0-3,2-0-0,0-0-0,0-0-0,0-1-2,0-0-0,0-1-1,1-0-0,1-0-1,1-0-2,0-0-1,1-0-2,0-0-1,1-1-3,1-1-3,1-2-0,0-0-0,0-0-0,6-1-2,5-0-3,3-6-8,2-3-6,5-3-1,0-0-0,1-1-0,1-2-1,0-1-1,12-0-1,0-0-0,2-3-0,0-0-0,3-1-1,1-3-0,1-0-1,0-0-0,0-1-0,0-0-0,1-0-1,0-0-2,2-0-3,0-0-2,3-2-0
AUT,0-0-0,0-0-0,0-0-0,-,0-2-2,2-4-1,0-0-2,0-0-1,1-0-1,0-0-0,0-0-0,0-0-0,1-0-6,0-0-0,1-1-2,0-0-0,0-0-0,0-1-3,0-1-2,1-1-4,2-0-8,1-1-0,0-0-0,1-0-0,0-0-0,0-0-0,0-1-0,1-0-0,0-0-0,0-0-0,0-0-0,1-0-6,2-1-2,0-0-0,0-0-0,0-1-0,0-1-0,0-0-0,0-0-0,1-3-2,0-0-0,1-1-5,5-2-2,0-1-0,2-1-6,1-1-0,1-0-0,0-0-0
BEL,2-1-0,0-0-1,1-0-0,2-2-0,-,4-1-3,1-0-1,1-0-0,0-2-0,0-0-0,0-0-1,0-0-0,3-3-3,0-0-0,4-2-2,0-0-0,1-0-2,3-1-2,0-0-5,2-2-6,1-0-4,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,2-1-2,1-0-0,2-0-0,0-0-2,0-2-0,2-4-2,3-1-0,0-0-0,1-0-0,0-0-0,1-2-3,1-0-0,0-0-0,6-1-0,0-0-0,3-0-1,4-1-0,2-1-0,1-3-3,0-0-0,4-0-0,0-0-0
BIH,1-0-0,0-0-2,0-0-0,1-4-2,3-1-4,-,0-0-1,0-0-0,1-0-0,0-0-0,0-0-0,0-0-0,0-0-2,0-0-0,0-0-0,0-0-0,0-0-1,0-0-1,0-2-6,0-3-3,0-1-3,1-0-0,0-0-0,1-1-5,0-0-0,1-1-0,1-1-1,1-0-1,0-0-0,0-0-0,1-0-3,0-2-2,2-0-2,0-0-0,0-0-0,0-0-0,0-1-5,0-1-1,0-0-0,0-0-0,0-1-0,1-0-0,0-0-1,0-0-0,2-2-2,0-0-0,0-1-2,0-1-1
BRA,1-0-0,12-5-10,3-0-1,2-0-0,1-0-1,1-0-0,-,1-1-0,1-0-0,0-0-0,10-9-2,0-0-0,4-2-0,0-0-0,1-0-0,10-5-2,2-0-0,3-4-1,1-1-0,2-1-4,3-1-2,4-0-0,2-0-0,1-0-0,1-0-0,0-0-0,6-2-1,6-0-0,2-0-0,0-0-1,7-3-6,0-1-2,0-1-0,1-0-0,2-1-0,9-6-5,2-2-2,1-0-0,3-0-0,1-0-0,1-1-1,2-1-1,2-0-0,1-1-0,3-2-0,7-8-2,10-1-0,0-0-0
CAN,0-0-0,0-0-3,0-0-2,1-0-0,0-0-1,0-0-0,0-1-1,-,0-1-0,0-0-0,1-1-0,0-0-0,0-0-1,3-1-0,0-0-2,0-2-1,0-0-1,0-0-0,0-0-1,0-1-0,0-0-1,0-0-0,5-0-1,1-0-0,0-0-0,0-0-0,1-0-3,1-1-1,0-0-0,0-0-2,2-4-8,0-0-1,0-0-0,1-0-0,5-5-2,0-0-0,0-0-1,1-0-0,0-0-1,0-1-1,0-0-0,1-0-0,0-0-0,0-1-0,0-0-0,0-1-1,4-6-7,1-0-0
CIV,2-2-1,0-0-1,0-0-0,1-0-1,0-2-0,0-0-1,0-0-1,0-1-0,-,5-2-3,0-0-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,4-4-4,0-0-1,0-0-1,0-1-2,0-1-0,2-3-2,0-0-0,0-0-0,0-0-0,1-0-0,2-0-2,1-0-1,0-0-1,3-4-3,0-0-1,0-0-2,0-0-0,0-0-1,0-0-0,0-2-0,0-1-0,1-0-0,1-3-2,1-0-0,4-3-2,0-1-0,2-0-1,4-3-2,0-1-0,1-0-0,0-0-0,0-0-0
COD,0-4-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,3-2-5,-,0-0-0,1-2-0,0-0-0,0-0-0,0-0-0,0-0-0,0-3-5,0-0-0,0-0-0,0-0-0,0-0-0,1-3-2,0-0-0,0-0-0,0-0-2,0-0-0,0-0-0,0-0-0,0-0-1,1-3-2,0-0-1,0-0-0,0-0-0,0-1-0,0-0-0,0-0-0,0-0-0,0-1-0,1-2-2,0-0-0,0-3-5,0-0-0,0-0-0,0-3-5,0-0-0,0-0-0,0-0-0,0-0-0
